Серия,Блеск при 60 град,Условная вязкость,ΔE,ΔL,Δa,Цветовое различие между партиями ΔЕ d/8,Δb,Время сушки,"Пиковая температура металла, °С",Толщина  для грунта,Адгезия,Стойкость к растворителям,Визуальный контроль поверхности,Внешний вид,Количество выкрасок с партии,Unnamed: 16,Степень перетира,Твердого вещества по объему,Грунт,Толщина пленки жидк.,Толщина для эмали/лака/чернил,Теоретический расход,Прочность при изгибе,Стойкость к обратному удару,Твердость по карандашу,Прочность растяжения по Эриксену,Блеск,Плотность,Массовая доля нелетучих веществ
,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение
п.41897 от 09.06.25 до 09.12.25,"3,00000","95,00000","0,41800","0,29800","0,05800",,"-0,28700","33,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,33893",,"47,93750",Полиэфирный 1311Т34 ALBA,"39,68668","19,00000","43,59844","1,5","10,00000",F,"7,00000",,"1,10000","58,35000"
п.41898 от 10.06.25 до 10.12.25,"42,80000","91,50000","0,50200","0,47500","0,01900",,"0,16400","32,00000","232,00000","7,00000",,"120,00000",Без дефектов,,,"1,67716","21,33333","46,30625",РРМ 310,"38,87164","18,00000","46,80440","1,5","10,00000",H,"7,00000",,"1,21000","64,50000"
п.41899 от 06.06.25 до 06.12.25,"39,32000","92,00000","0,45200","-0,20500","0,23000",,"-0,33100","30,00000","232,00000","5,84000",,"100,00000",Без дефектов,,,"1,58105","25,00000","43,29063",РРМ 310,"41,55664","18,02000","47,05299","1,5","10,00000",H,"7,00000",,"1,15000","60,55000"
п.41900 от 09.06.25 до 09.12.25,"37,60000","118,00000","0,35286","0,33300","0,03900",,"-0,11000","38,00000","249,00000","24,00000",,"110,00000",Без дефектов,,"2,00000","1,63630",,"50,24432",PPU 331,"49,75687","25,00000","62,69366","1,5","10,00000",H,,,"1,26000","65,25000"
п.41901 от 06.06.25 до 06.12.25,"27,90000","60,00000",,,,,,"33,00000","232,00000","5,00000",,"30,00000",Без дефектов,Белый цвет жидкого продукта,,"1,56139","15,00000","39,62500",,"12,61830",,"14,51104",,,,,,"1,15000","53,80000"
п.41902 от 04.06.25 до 04.06.27,,,"0,08500","-0,06900","0,00100","0,08500","0,05000",,,,,,,,,,"50,00000",,,,,,,,,,,"1,16000","69,20000"
п.41903 от 09.06.25 до 09.12.25,"30,50000","66,00000",,,,,,"32,00000","232,00000","5,00000",,"50,00000",Без дефектов,,,"1,70328","26,00000","39,47614",РРМ 310,"15,87085","6,20000","18,92536",3,"3,00000",H,,,"1,20500","55,80000"
п.41904 от 05.06.25 до 05.06.27,"0,60000",,"0,92000","-0,88900","0,06400","0,70300","0,23000",,,,,,,,,,"30,00000",,,,,,,,,,,"1,38000",
п.41905 от 05.06.25 до 05.06.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,28000",
п.41906 от 10.06.25 до 10.12.25,"96,70000","139,00000",,,,,,"12,00000",,,,"10,00000",Без дефектов,,,,,,,,"7,00000",,,,,,,"0,98000","38,60000"
п.41907 от 05.06.25 до 05.12.25,,"78,50000",,,,,,"12,00000",,,,"30,00000",Без дефектов,,,,,,,,"4,00000",,,,,,,"0,98000","34,20000"
п.41908 от 04.06.25 до 04.12.25,"35,46000","90,00000","0,22300","0,21400","0,00500",,"0,06400","33,00000","232,00000","5,00000",,"110,00000",Без дефектов,,,"1,75151","25,00000","42,50750",РРМ 310,"42,81597","18,20000","51,16762","1,5","10,00000",H,"7,00000",,"1,22000","62,30000"
п.41909 от 03.06.25 до 03.06.27,,,,,,,,,,,,,,Прозрачный,,,,,,,,,,,,,,,
п.41910 от 06.06.25 до 06.12.25,"29,00000","101,00000","0,18300","0,14700","-0,03700",,"0,10100","33,00000","232,00000","5,00000","1,00000","110,00000",Без дефектов,,,"2,09347","13,00000","41,60500",РРМ 310,"45,66759","19,00000","60,58793","1,5","10,00000",F,"7,00000",,"1,36000","65,65000"
п.41911 от 09.06.25 до 09.12.25,"36,36000","93,00000","0,49600","-0,43800","0,09500",,"0,21200","33,00000","232,00000","5,00000","1,00000","110,00000",Без дефектов,,,"1,99067","23,00000","51,52500",РРМ 310,"38,94839","20,00000","55,06705","1,5","10,00000",F,"7,00000",,"1,40000","72,30000"
п.41912 от 05.06.25 до 05.12.25,"35,50000","92,00000","0,38500","0,32100","-0,17400",,"-0,12300","33,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,64320","27,00000","44,22233",РРМ 310,"40,70342","18,00000","47,50142","1,5","10,00000",H,"7,00000",,"1,18257","62,26681"
п.41913 от 17.06.25 до 17.12.25,"3,00000","115,50000","0,21300","0,06900","-0,18400",,"-0,08400","33,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,40511",,"47,60909",РРМ 310,"41,33978","20,00000","47,46993","1,5","10,00000",H,"7,00000",,"1,13000","59,20000"
п.41914 от 04.06.25 до 04.12.25,,,,,,,,"26,00000","232,00000",,,,,,,,"13,00000",,,,"20,10000",,,,,,,,
п.41915 от 05.06.25 до 05.12.25,"38,10000","117,00000","0,31700","0,21000","0,07600",,"0,22500","38,00000","249,00000","15,00000",,"110,00000",Без дефектов,,,"1,68527",,"49,67273",РРМ 310,"50,32943","25,00000","64,42167","0,5","10,00000",H,"6,00000",,"1,28000","65,40000"
п.41916 от 05.06.25 до 05.12.25,,"70,00000",,,,,,"25,00000","224,00000","6,00000",,"30,00000",Без дефектов,,,,"10,00000","39,89091",,"14,99234",,,,,,,,"1,14000","53,60000"
п.41917 от 06.06.25 до 06.12.25,"40,00000","78,00000","0,42200","0,37400","-0,00900","0,27600","-0,19500","30,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,85615","28,00000","48,58250",РРМ 310,"36,92592","18,00000","48,70362",1,"16,00000",F,"7,00000",,"1,31000","68,60000"
п.41918 от 05.06.25 до 05.06.27,,,,,,,,,,,,,,Прозрачный,,,,,,,,,,,,,,,
п.41919 от 10.06.25 до 10.12.25,"3,50000","86,00000","0,32000","0,27200","-0,16900",,"0,00500","33,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,33419",,"48,43750",РРМ 310,"39,68668","19,00000","43,14839","1,5","10,00000",H,"7,00000",,"1,10000","58,75000"
п.41920 от 10.06.25 до 10.12.25,"87,90000","156,00000",,,,,,"12,00000",,,,"10,00000",Без дефектов,,,,"7,00000",,,,"8,00000",,1,,,,,"1,41000","63,60000"
п.41921 от 06.06.25 до 06.12.25,"36,10000","84,50000","0,33500","0,04700","0,05400",,"0,32700","32,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,61206","25,00000","44,14611",Полиэфирный 1311Т34 ALBA,"40,77369","18,00000","46,99066","1,5","10,00000",F,"6,00000",,"1,16821","61,75079"
п.41922 от 06.06.25 до 06.06.26,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,"1,29000",
п.41923 от 09.06.25 до 09.06.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,29000",
п.41924 от 04.06.25 до 04.06.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,96000",
п.41925 от 11.06.25 до 11.12.25,,"79,00000",,,,,,"38,00000","249,00000","18,00000",,"10,00000",Без дефектов,,,"1,52150","15,00000","43,64773",,"41,67983",,"47,83754",,,,,,"1,16000","57,25000"
п.41926 от 04.06.25 до 04.12.25,,,,,,,,"26,00000","232,00000",,,,,,,,"7,00000",,,,"19,93000",,,,,,,,
п.41927 от 09.06.25 до 09.12.25,"39,70000","85,00000","0,49390","0,46100","-0,09600",,"-0,14900","33,00000","232,00000","5,00000",,"100,00000",Без дефектов,,,"1,75301",,"47,03125",Полиэфирный 1311Т34 ALBA,"38,27243","18,00000","47,73699",1.5,"10,00000",F,"6,00000",,"1,25000","66,10000"
п.41928 от 09.06.25 до 09.12.25,"38,00000","91,00000","0,21800","0,13500","0,16600","0,44100","0,03800","31,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,65232","24,00000","44,81375",РРМ 310,"35,70333","16,00000","42,03033",1,"16,00000",F,"7,00000",,"1,19000","62,90000"
п.41929 от 19.06.25 до 19.12.25,"34,10000","94,00000","0,08700","-0,07500","-0,03300",,"0,03000","33,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,71636","27,00000","43,35688",РРМ 310,"41,51590","18,00000","49,39157","1,5","10,00000",H,"7,00000",,"1,21000","62,55000"
п.41930 от 11.06.25 до 11.12.25,"3,50000","104,00000","0,07900","0,07500","0,01500",,"-0,02000","33,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,34422",,"49,54545",РРМ 310,"38,39750","19,00000","42,56697","1,5","10,00000",H,"7,00000",,"1,11000","60,00000"
п.41931 от 17.06.25 до 17.12.25,"82,00000","90,00000","0,29189","-0,20900","0,20000",,"-0,03900","29,00000","224,00000","5,00000",,"120,00000",Без дефектов,,,"1,60929","17,00000","44,71750",РРМ 310,"40,22773","17,93000","46,39010",1,"16,00000",F,"7,00000",,"1,17000","62,20000"
п.41932 от 17.06.25 до 17.12.25,"40,10000","86,50000","0,28300","-0,03700","-0,16000",,"0,23000","33,00000","232,00000","7,25000",,"120,00000",Без дефектов,,,"1,98685","24,00000","50,56813",РРМ 310,"34,94296","17,67000","49,06735","1,5","10,00000",H,"7,00000",,"1,39000","71,55000"
п.41933 от 06.06.25 до 06.12.25,"36,40000","92,50000","0,36227","-0,25500","-0,02600",,"-0,25600","32,00000","232,00000","6,00000","1,00000","100,00000",Без дефектов,,,"1,67765","23,00000","51,58209",РРМ 310,"34,37500","18,00000","44,65109","1,5","10,00000",H,"7,00000",,"1,31000","67,00762"
п.41934 от 05.06.25 до 05.12.25,"33,70000","88,00000","0,12318","-0,04800","0,09500",,"-0,06200","32,00000","232,00000","5,00000","1,00000","100,00000",Без дефектов,,,"1,53227","24,00000","44,15788",РРМ 310,"40,76283","18,00000","45,54675","1,5","10,00000",H,"7,00000",,"1,13256","60,55512"
п.41935 от 09.06.25 до 09.12.25,"39,70000","85,00000","0,36795","0,12200","-0,09100",,"-0,33500","33,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,80231","24,00000","45,11125",Полиэфирный 1311Т34 ALBA,"39,83182","18,00000","49,79528","1,5","10,00000",F,"6,00000",,"1,26000","65,15000"
п.41936 от 18.06.25 до 18.12.25,,"65,00000",,,,,,"12,00000",,,,"30,00000",Без дефектов,,,,,,,,"4,00000",,,,,,,"0,98000","34,20000"
п.41937 от 09.06.25 до 09.12.25,,"63,00000",,,,,,"12,00000",,,,"30,00000",Без дефектов,,,,,,,,"5,00000",,,,,,,"0,99000","34,10000"
п.41938 от 06.06.25 до 06.12.25,"20,00000","73,00000",,,,,,"32,00000","232,00000","6,00000",,"30,00000",Без дефектов,,,"1,57960","5,00000","40,02273",,"14,99148",,"17,39012",,,,,,"1,16000","54,50000"
п.41939 от 06.06.25 до 06.12.25,"36,60000","85,00000","0,18000","0,15800","0,08300","0,18100","0,01900","30,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,83105","26,00000","46,08000",РРМ 310,"38,52740","18,00000","49,71184",1,"16,00000",F,"7,00000",,"1,28000","66,30000"
п.41940 от 06.06.25 до 06.12.25,,"69,50000",,,,,,"30,00000","224,00000","5,00000",,"15,00000",Без дефектов,,,"1,52757","17,00000","40,15000",,"12,45330",,"14,19676",,,,,,"1,14000","53,80000"
п.41941 от 05.06.25 до 05.12.25,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,,
п.41942 от 11.06.25 до 11.12.25,"37,20000","94,00000","0,44000","0,22400","0,32200",,"0,19900","33,00000","232,00000","5,82000",,"120,00000",Без дефектов,,,"1,68239","26,00000","44,20000",РРМ 310,"41,04072","18,14000","48,59646","1,5","10,00000",H,"7,00000",,"1,20000","62,80000"
п.41944 от 10.06.25 до 10.12.25,"36,00000","84,00000","0,34800","-0,02900","0,33400","0,26800","-0,09100","30,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,60712","26,00000","39,22375",РРМ 310,,"18,00000","50,44150",1,"16,00000",F,"7,00000",,"1,14000","57,35000"
п.41945 от 09.06.25 до 09.12.25,"4,20000","91,00000","0,11300","0,07900","0,07900",,"-0,01500","28,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,27911",,"50,11136",РРМ 310,"40,05827","20,00000","43,10400","1,5","10,00000",H,"7,00000",,"1,08000","59,35000"
п.41946 от 17.06.25 до 17.12.25,"100,00000","76,00000",,,,,,"12,00000",,"7,00000",,"40,00000",Без дефектов,,"3,00000",,,,D'LAC WEF 3020,,"3,00000",,,,,,,"1,03000","42,00000"
п.41947 от 18.06.25 до 18.12.25,"83,48000","81,00000",,,,,,"8,00000",,,,"15,00000",Оспины,,"3,00000",,"7,00000",,,,"6,00000",,"1,5",,,,,"1,49000","71,30000"
п.41949 от 10.06.25 до 10.06.26,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,"1,33000",
п.41950 от 10.06.25 до 10.06.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,31000",
п.41951 от 06.06.25 до 06.06.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,96000",
п.41952 от 10.06.25 до 10.06.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,40000",
п.41954 от 11.06.25 до 11.12.25,"39,50000","82,00000","0,29700","0,02900","0,28600",,"0,07300","33,00000","232,00000","4,83000",,"120,00000",Без дефектов,,,"1,49285","26,00000","45,33000",РРМ 310,"39,02765","17,50000","42,86282","1,5","10,00000",H,"7,00000",,"1,12000","60,95000"
п.41955 от 10.06.25 до 10.12.25,"7,00000","77,00000",,,,,,"47,00000","232,00000","6,00000",,"100,00000",Без дефектов,,"2,00000","1,29286","26,00000","41,17614",PPM 310+TPE 510,"29,18538","12,00000","30,60025",1.5,"4,00000",H,,,"1,05000","50,70000"
п.41956 от 11.06.25 до 11.12.25,"1,70000","119,00000","0,42600","-0,29300","0,28900",,"-0,10800","31,00000","249,00000","26,00000",,"110,00000",Без дефектов,,,"1,47563",,"47,00909",PPU 331,"51,05396","24,00000","59,22259","0,5","10,00000",H,"6,00000",,"1,16000","59,80000"
п.41957 от 06.06.25 до 06.12.25,,,,,,,,"26,00000","232,00000",,,,,,,,"8,00000",,,,"20,40000",,,,,,,,
п.41958 от 06.06.25 до 06.12.25,,"158,00000",,,,,,,,,,,,,,,,,,,,,,,,,,"1,05000",
п.41959 от 10.06.25 до 10.12.25,"39,50000","120,00000","0,42437","0,33000","0,26300",,"0,04500","38,00000","249,00000","24,00000",,"110,00000",Без дефектов,,,"1,29402",,"45,89205",PPU 331,"54,47567","25,00000","58,28897","1,5","10,00000",H,,,"1,07000","55,50000"
п.41960 от 06.06.25 до 06.12.25,"34,26000","87,00000","0,23300","-0,21100","0,09400",,"0,02900","33,00000","232,00000","5,00000","1,00000","100,00000",Без дефектов,,,"1,55445","30,00000","48,23584",РРМ 310,"37,31665","18,00000","43,46774","1,5","10,00000",H,"7,00000",,"1,16225","64,36969"
п.41961 от 10.06.25 до 10.12.25,"40,00000","85,00000","0,53073","0,33600","-0,29000",,"0,29100","32,00000","232,00000","5,00000","1,00000","100,00000",Без дефектов,,,"1,62883","26,00000","45,82453",РРМ 310,"39,28027","18,00000","46,22822","1,5","10,00000",H,"7,00000",,"1,18488","63,42214"
п.41962 от 18.06.25 до 18.12.25,"43,30000","84,00000","0,10900","0,03000","-0,04200",,"0,09600","33,00000","232,00000","5,85000",,"120,00000",Без дефектов,,,"1,71030","26,00000","50,31250",РРМ 310,"35,65432","18,05000","45,26528","1,5","10,00000",H,"7,00000",,"1,25000","68,20000"
п.41964 от 10.06.25 до 10.12.25,"37,52000","117,50000","0,40600","-0,00900","-0,11000",,"0,39000","38,00000","249,00000","26,00000",,"110,00000",Без дефектов,,"2,00000","1,42055",,"49,94886",PPU 331,"50,05119","25,00000","57,55887","1,5","10,00000",H,,,"1,15000","61,70000"
п.41965 от 16.06.25 до 16.12.25,"39,16000","118,00000","0,33400","0,09900","-0,29900",,"-0,11100","38,00000","249,00000","24,00000",,"110,00000",Без дефектов,,"2,00000","1,34900",,"49,04091",PPU 331,"48,93873","24,00000","54,32199","1,5","10,00000",H,,,"1,11000","59,60000"
п.41966 от 17.06.25 до 17.12.25,"39,00000","87,00000","0,26400","0,18500","0,18700",,"0,02300","33,00000","232,00000","5,76000",,"120,00000",Без дефектов,,,"1,61361","27,00000","44,35188",РРМ 310,"39,50478","17,55000","45,71238","1,5","10,00000",H,"7,00000",,"1,17000","61,95000"
п.41967 от 19.06.25 до 19.12.25,"39,30000","84,00000","0,27600","0,05700","-0,20900",,"-0,17200","33,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,84228","24,00000","45,36000",РРМ 310,"39,61268","18,00000","50,35838","1,5","10,00000",H,"7,00000",,"1,28000","65,85000"
п.41968 от 11.06.25 до 11.12.25,"38,90000","94,00000","0,46300","-0,02900","0,11600",,"-0,44700","30,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,58023","25,00000","43,36250",РРМ 310,"41,51052","18,00000","46,93746","1,5","10,00000",H,"7,00000",,"1,15000","60,60000"
п.41969 от 10.06.25 до 10.12.25,"12,70000","55,00000",,,,,,"30,00000","232,00000","6,00000",,,Без дефектов,,,"1,51883","13,00000","39,13409",,"15,23194",,"17,32505",,,,,,"1,13000","52,60000"
п.41970 от 06.06.25 до 06.06.27,,,"0,85900","0,42000","0,41400","0,34800","0,62400",,,,,,,,,,"60,00000",,,,,,32,,,"1,60000","48,20000","1,78100","86,30000"
п.41971 от 10.06.25 до 10.12.25,"38,10000","120,00000","0,42093","-0,41300","-0,05600",,"-0,05900","70,00000","249,00000","24,00000",,"110,00000",Без дефектов,,,"1,22827",,"48,81250",PPU 331,"49,16773","24,00000","51,62612",1.5,"10,00000",H,,,"1,05000","57,10000"
п.41972 от 10.06.25 до 10.12.25,"38,40000","94,00000","0,30300","-0,08100","-0,23000",,"0,17900","30,00000","232,00000","5,56000",,"100,00000",Без дефектов,,,"1,59459","27,00000","47,93250",РРМ 310,"38,26955","18,40000","45,34850","1,5","10,00000",H,"7,00000",,"1,18000","64,70000"
п.41973 от 18.06.25 до 18.12.25,"85,90000","159,00000",,,,,,"12,00000",,,,"10,00000",Без дефектов,,,,"7,00000",,,,"8,00000",,"1,5",,,,,"1,42000","63,80000"
п.41974 от 19.06.25 до 19.12.25,"42,90000","108,00000","0,24000","0,01300","0,14400",,"0,19100","38,00000","249,00000","9,96000",,"110,00000",Без дефектов,,,"1,42041",,"46,26080",РРМ 310,"54,46275","25,09000","61,28667",0.5,"18,00000",H,"6,00000",,"1,13000","58,15000"
п.41975 от 11.06.25 до 11.12.25,,"69,00000",,,,,,"12,00000",,,,"30,00000",Без дефектов,,,,,,,,"5,00000",,,,,,,"0,99000","34,00000"
п.41977 от 11.06.25 до 11.12.25,,"60,00000",,,,,,"30,00000","224,00000","5,00000",,"15,00000",Без дефектов,,,"1,50650","17,00000","39,90455",,"12,41010",,"14,15879",,,,,,"1,13000","53,20000"
п.41979 от 10.06.25 до 10.12.25,"38,20000","90,00000","0,37200","0,23600","-0,07800","0,49600","0,27700","30,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,96337","24,00000","43,48750",РРМ 310,"37,71199","16,40000","48,97234",1,"16,00000",F,"7,00000",,"1,32000","65,75000"
п.41980 от 11.06.25 до 11.12.25,"38,30000","88,00000","0,19700","0,19600","0,01600",,"0,01400","30,00000","232,00000","6,28000",,"100,00000",Без дефектов,,,"2,01540","26,00000","48,91750",РРМ 310,"37,45081","18,32000","52,29755","1,5","10,00000",H,"7,00000",,"1,39000","70,60000"
п.41982 от 16.06.25 до 16.12.25,"39,20000","80,50000","0,24900","0,12300","-0,07800",,"-0,20100","33,00000","232,00000","5,70000",,"120,00000",Без дефектов,,,"2,00319","28,00000","49,61250",РРМ 310,"36,84555","18,28000","51,57498","1,5","10,00000",H,"7,00000",,"1,39000","71,00000"
п.41983 от 06.06.25 до 06.12.25,,,,,,,,"26,00000","232,00000",,,,,,,,"10,00000",,,,"20,40000",,,,,,,,
п.41984 от 09.06.25 до 09.12.25,,,,,,,,"26,00000","232,00000",,,,,,,,"10,00000",,,,"20,24000",,,,,,,,
п.41985 от 11.06.25 до 11.12.25,"39,80000","87,00000","0,29600","0,13900","-0,25200",,"-0,07100","32,00000","232,00000","5,00000",,"100,00000",Без дефектов,,,"2,01101","26,00000","45,68500",Полиэфирный 1311Т34 ALBA,"39,03709","18,00000","53,19350","1,5","10,00000",F,"6,00000",,"1,36000","68,05000"
п.41986 от 16.06.25 до 16.12.25,"6,84000","93,00000","2,23000","2,21800","0,19900",,"0,10800","32,00000","232,00000","5,20000",,"110,00000",Без дефектов,,,"1,38144",,"49,85625",Полиэфирный,"38,10956","19,00000","43,06381","1,5","10,00000",H,"7,00000",,"1,13000","60,95000"
п.41987 от 06.06.25 до 06.08.25,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,,
п.41989 от 19.06.25 до 19.12.25,"92,18000","80,00000",,,,,,"47,00000","232,00000","5,00000",,"50,00000",Соответствует,,,"1,49136",,"33,92750",РРМ 310,"53,05431","18,00000","53,05242","1,5",,F,"4,00000",,"1,07000","50,60000"
п.41990 от 11.06.25 до 11.12.25,"42,10000","115,00000","0,41016","0,04400","0,15300",,"0,37800","38,00000","249,00000","24,00000",,"110,00000",Без дефектов,,,"1,52486",,"52,72500",PPU 331,"45,51920","24,00000","55,53343","1,5","10,00000",H,,,"1,22000","65,90000"
п.41991 от 10.06.25 до 10.06.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,96000",
п.41992 от 06.06.25 до 06.12.25,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,,
п.41993 от 16.06.25 до 16.12.25,"14,60000","88,00000","0,24600","-0,14600","-0,10500",,"-0,16700","47,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,70830","28,00000","35,76500",РРМ 310,"50,32853","18,00000","55,20551","1,5","4,00000",3H,,,"1,16000","55,70000"
п.41994 от 10.06.25 до 10.12.25,"33,80000","93,50000","0,47900","-0,16100","-0,43600",,"0,11500","33,00000","232,00000","5,00000","1,00000","100,00000",Без дефектов,,,"1,61335","23,00000","43,24330",РРМ 310,"41,61228","18,00000","47,61401","1,5","10,00000",H,"7,00000",,"1,16397","60,99095"
п.41995 от 11.06.25 до 11.12.25,"36,30000","91,00000","0,19800","-0,15100","0,09500",,"-0,08400","33,00000","232,00000","5,00000",,"100,00000",Без дефектов,,,"1,83911","30,00000","46,09993",РРМ 310,"39,04561","18,00000","49,84482","1,50000","10,00000",H,"7,00000",,"1,28388","66,41426"
п.41996 от 16.06.25 до 16.12.25,,"71,00000",,,,,,,"224,00000","5,00000",,,,,,"2,50406","20,00000",,PPE 100,,"13,00000","89,92481",,,,,,"1,15000","36,20000"
п.41997 от 09.06.25 до 09.12.25,"36,50000","87,00000","0,34472","-0,30400","0,15700",,"-0,04200","32,00000","232,00000","6,00000","1,00000","100,00000",Без дефектов,,,"1,77740","21,00000","45,31250",РРМ 310,"39,72414","18,00000","49,22034","1,5","10,00000",H,"6,00000",,"1,25000","65,00000"
п.41998 от 09.06.25 до 09.12.25,,,,,,,,"26,00000","232,00000",,,,,,,,"6,00000",,,,"20,22000",,,,,,,,
п.41999 от 18.06.25 до 18.12.25,"2,30000","108,00000","0,33200","0,22000","0,63000",,"0,24000","41,00000","249,00000","25,00000",,"110,00000",Без дефектов,,,"1,30918",,,Полиуретановый,,"25,00000","63,18413",1,"15,00000",H,"6,00000",,"1,06000","51,80000"
п.42001 от 10.06.25 до 10.12.25,,,,,,,,"26,00000","232,00000",,,,,,,,"6,00000",,,,"20,10000",,,,,,,,
п.42002 от 09.06.25 до 09.12.25,,,,,,,,,,,,,,"Белый, однородный, без включений",,,,,,,,,,,,,,,
п.42003 от 10.06.25 до 10.12.25,"15,80000","66,00000",,,,,,"33,00000","232,00000","6,00000",,"30,00000",Без дефектов,,,"1,57985","15,00000","38,57955",,"15,55228",,"17,88513",,,,,,"1,15000","53,00000"
п.42004 от 19.06.25 до 19.12.25,"92,70000","131,00000",,,,,,"12,00000",,,,"10,00000",Без дефектов,,,,,,,,"5,00000",,,,,,,"0,99000","38,25000"
п.42005 от 11.06.25 до 11.12.25,"18,10000","73,00000",,,,,,"30,00000","224,00000","5,00000",,"30,00000",Без дефектов,,,,"14,00000","40,27955",,"12,41325",,,,,,,,"1,14000","53,90000"
п.42006 от 16.06.25 до 16.12.25,"36,70000","92,50000","0,28200","-0,19800","0,20000","0,29100","0,02100","29,00000","224,00000","5,80000",,"120,00000",Без дефектов,,,"1,69650","21,00000","46,47250",РРМ 310,"38,79624","18,00000","47,05228",1,"16,00000",F,"7,00000",,"1,22000","64,90000"
п.42007 от 11.06.25 до 11.06.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,31000",
п.42008 от 11.06.25 до 11.06.26,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,"1,33000",
п.42009 от 20.06.25 до 20.12.25,"93,40000","119,00000",,,,,,"12,00000",,,,"5,00000",Без дефектов,,,,"10,00000",,,,"8,00000",,,,,,,"1,05000","46,00000"
п.42012 от 17.06.25 до 17.06.27,,,"0,75200","0,62400","-0,06100","0,72200","-0,41500",,,,,,,,,,"18,00000",,,,,,,,,,,"1,21000",
п.42013 от 10.06.25 до 10.12.25,,"167,00000",,,,,,,,,,,,,,,,,,,,,,,,,,"1,07000",
п.42014 от 17.06.25 до 17.12.25,"2,20000","97,00000","0,16600","0,16300","0,01300",,"0,02700","33,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,27960",,"50,05000",РРМ 310,"35,87606","18,00000","38,84116","1,5","10,00000",H,"7,00000",,"1,08000","59,30000"
п.42015 от 16.06.25 до 16.12.25,"44,00000","120,00000","0,25900","0,03600","-0,07500",,"0,24500","38,00000","249,00000","24,00000",,"110,00000",Без дефектов,,,"1,50042",,"49,96591",PPU 331,"47,64591","24,00000","57,15897","1,5","10,00000",H,,,"1,19000","63,00000"
п.42016 от 17.06.25 до 17.12.25,"38,50000","87,00000","0,57700","-0,08100","0,25900",,"0,50900","33,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"2,02731",,"45,97063",Полиэфирный 1311Т34 ALBA,"39,22851","18,00000","53,31118","1,5","10,00000",F,"6,00000",,"1,37000","68,45000"
п.42017 от 17.06.25 до 17.12.25,"4,60000","114,50000","0,10100","0,09900","0,00200",,"-0,01700","33,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,32841",,"49,06250",Полиэфирный 1311Т34 ALBA,"38,57868","19,00000","42,59873","1,5","10,00000",F,"7,00000",,"1,10000","59,25000"
п.42018 от 11.06.25 до 11.12.25,"40,00000","96,00000","0,20800","0,05800","0,19700",,"-0,03500","33,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,76780","30,00000","52,02813",РРМ 310,"38,74092","20,00000","50,32878","1,5","10,00000",H,"6,00000",,"1,29000","70,25000"
п.42019 от 16.06.25 до 16.12.25,"42,30000","83,00000","0,25700","0,12500","-0,22100",,"0,04200","33,00000","232,00000","5,19000",,"120,00000",Без дефектов,,,"1,78890","25,00000","48,96000",РРМ 310,"32,51634","15,92000","41,81970","1,5","10,00000",H,"7,00000",,"1,28000","68,10000"
